"first","last","PASSING_ATT","PASSING_CMP","PASSING_YDS","PASSING_TDS","PASSING_INTS","RUSHING_ATT","RUSHING_YDS","RUSHING_TDS","MISC_FL","MISC_FPTS","position","RECEIVING_REC","RECEIVING_YDS","RECEIVING_TDS"
"patrick","mahomes",581.5,379.9,4781.6,36.2,13.3,52.4,220.5,2,2,339.3,"QB",0,0,0
"deshaun","watson",511.5,337.8,4072.3,26.4,12,95.2,501.2,4.4,2.7,315.6,"QB",0,0,0
"aaron","rodgers",590,374.8,4283.3,29.5,7.6,46.2,260.5,2.1,2.1,308.6,"QB",0,0,0
"matt","ryan",584.5,394.9,4633.8,30,10.6,48.2,131.9,1.5,2.1,301.9,"QB",0,0,0
"andrew","luck",577,379.2,4330,31.9,13.7,49.7,210.2,1.2,2.4,296.6,"QB",0,0,0
"cam","newton",520.2,339.6,3805.2,24.4,13.8,112.9,510.4,4.4,1.7,296.5,"QB",0,0,0
"drew","brees",538.8,387.4,4340.9,30.6,8.8,24.7,39.2,1.9,1.6,290.7,"QB",0,0,0
"jameis","winston",564.5,358.9,4454,27.5,16.6,57,277.2,1.6,2.7,287.1,"QB",0,0,0
"dak","prescott",522.7,344.7,3862,23.7,10.8,68,311.2,5.3,2.3,285.9,"QB",0,0,0
"carson","wentz",568.9,376.8,4245.6,30.1,12.2,52.4,192.4,1,2.6,285.8,"QB",0,0,0
"baker","mayfield",561.9,361.1,4309.9,30.9,14.5,47.1,182.6,0.9,2.4,285.7,"QB",0,0,0
"jared","goff",549.3,351,4367.5,30.3,11.7,31.1,102.9,1.2,2.2,285.6,"QB",0,0,0
"ben","roethlisberger",620.4,407.3,4651.8,29.4,15.2,23.3,74.2,1.2,1.8,284.4,"QB",0,0,0
"russell","wilson",454.7,292.8,3570.4,27.8,9.5,73,361.8,2,2.1,279.3,"QB",0,0,0
"lamar","jackson",436,258.7,3013.4,17.4,10.8,177.7,829.4,6.4,5.2,279.3,"QB",0,0,0
"tom","brady",580.7,379.1,4371.5,29.2,10.8,20.8,37.6,1,1.5,277.1,"QB",0,0,0
"mitch","trubisky",513.8,334.6,3776.5,25.1,13,66.2,378.7,2.4,2.4,272.9,"QB",0,0,0
"kirk","cousins",573.3,394.9,4154.7,27.4,11.9,38.8,133.2,1.9,2.4,271.5,"QB",0,0,0
"philip","rivers",546.8,360.7,4371.5,29.7,12.3,13.7,24.4,0.2,1.4,270,"QB",0,0,0
"kyler","murray",544.5,336.1,3722.2,21.4,14.5,107,505.1,3.1,3.2,268.4,"QB",0,0,0
"josh","allen",478.6,270.1,3204.7,17.4,14.4,102.5,609.4,6.2,2.7,261.8,"QB",0,0,0
"jimmy","garoppolo",520.2,333.9,4069.8,25.2,14.4,37.7,123.4,1.3,2,250.6,"QB",0,0,0
"derek","carr",570.5,379.6,4105.2,23.9,12.3,24.5,68.6,0.6,2.1,241.9,"QB",0,0,0
"matthew","stafford",557.6,367.5,3940.1,24,11.4,28.9,77.9,0.7,1.7,239.4,"QB",0,0,0
"andy","dalton",536.8,333.4,3706,24.2,13.7,32.9,120.2,0.9,1.7,231.3,"QB",0,0,0
"sam","darnold",531.7,322.2,3671.8,22.9,15.6,47.9,188.4,1.6,2.2,231.1,"QB",0,0,0
"marcus","mariota",446.1,293.4,3263.5,18.3,12.6,70.2,358,2.6,2.4,225.3,"QB",0,0,0
"nick","foles",532.2,339.1,3783.1,21.6,13.4,33.1,76.5,0.9,2,220.3,"QB",0,0,0
